Depth,TrialCount,A*(h1),t(h1),A*(h2),t(h2)
4,1,7,49181,7,82911
4,1,11,135748,9,58568
4,1,7,64014,7,50032
4,1,9,61473,9,68453
4,1,9,52399,9,85145
4,1,7,45969,7,46268
4,1,9,81193,9,51540
4,1,9,48368,9,49131
4,1,9,78488,9,52780
4,1,9,76089,9,36340
4,1,9,31849,9,31703
4,1,9,32508,9,32134
4,1,11,59956,9,49771
4,1,7,43150,7,45546
4,1,9,42354,9,31573
4,1,9,45867,9,75928
4,1,9,30420,9,29958
4,1,9,50762,9,36155
4,1,9,39584,9,33137
4,1,9,31445,9,27306
4,1,9,34052,9,29673
4,1,9,33330,9,29451
4,1,9,28245,9,51401
4,1,7,32924,7,26281
4,1,9,40918,9,41419
4,1,9,30028,9,30125
4,1,9,48939,9,48444
4,1,9,47744,9,48612
4,1,7,67027,7,43461
4,1,9,55305,9,86663
4,1,9,50794,9,52920
4,1,7,43119,7,45152
4,1,9,48059,9,51807
4,1,11,57197,9,57137
4,1,9,47030,9,45786
4,1,11,59882,9,58946
4,1,9,50128,9,50831
4,1,9,47924,9,47013
4,1,9,49254,9,47276
4,1,7,43756,7,46612
4,1,9,48269,9,50609
4,1,7,52595,7,44585
4,1,7,49362,7,43027
4,1,9,53432,9,240079
4,1,9,39855,9,34619
4,1,9,35288,9,33558
4,1,9,23565,9,19477
4,1,9,20702,9,16260
4,1,9,40718,9,28921
4,1,9,18925,9,17515
4,1,9,18233,9,14040
4,1,7,18406,7,16338
4,1,7,17500,7,15914
4,1,9,18624,9,14796
4,1,9,19116,9,17492
4,1,7,20162,7,13914
4,1,9,20328,9,18478
4,1,9,23513,9,30975
4,1,9,21511,9,20806
4,1,9,29855,9,27287
4,1,9,30066,9,32993
4,1,9,33069,9,36940
4,1,9,34266,9,44354
4,1,9,35699,9,43325
4,1,9,34305,9,37725
4,1,9,93354,9,35449
4,1,11,50110,9,31435
4,1,11,80380,9,62495
4,1,9,31826,9,66672
4,1,9,32937,9,3615450
4,1,9,64326,9,36262
4,1,9,56978,9,28416
4,1,9,33723,9,40745
4,1,9,30761,9,30908
4,1,7,28553,7,28421
4,1,7,27033,7,26046
6,1,19,58848,17,54727
6,1,12,37123,12,36376
6,1,10,33337,10,33325
6,1,19,57347,17,49771
6,1,24,106915,17,56230
6,1,22,59670,15,42949
6,1,22,63193,15,43015
6,1,12,38490,12,36661
6,1,12,36313,12,36748
6,1,12,38720,12,36434
6,1,19,49873,12,34905
6,1,12,1477906,12,74990
6,1,12,48402,12,42089
6,1,14,72089,12,42269
6,1,19,61457,17,63241
6,1,12,38002,12,229123
6,1,14,91008,12,54337
6,1,21,93094,14,53319
6,1,12,39868,12,50466
6,1,12,41343,12,49364
6,1,10,66124,10,40219
6,1,12,39342,12,41438
6,1,12,39612,12,43112
6,1,28,95239,23,140836
6,1,20,58355,14,42977
6,1,12,38648,12,223965
6,1,12,46734,12,58814
6,1,19,73546,12,39068
6,1,10,33856,10,32066
6,1,28,83241,23,70038
6,1,19,58019,17,71116
6,1,21,57398,14,39517
6,1,10,32838,10,29088
6,1,12,178251,12,55964
6,1,12,63231,12,34634
6,1,10,31931,10,44481
6,1,12,35329,12,32645
6,1,12,75648,12,34272
6,1,10,32950,10,31717
6,1,12,39060,12,30915
6,1,18,55204,13,32961
6,1,12,31691,12,28536
6,1,10,29730,10,27261
6,1,28,78966,23,76279
6,1,19,48283,17,67482
6,1,12,35536,12,33857
6,1,21,55944,17,42128
6,1,10,116460,10,39339
6,1,22,62979,15,36575
6,1,10,30480,10,27154
6,1,10,29385,10,30769
6,1,10,28110,10,27603
6,1,14,36883,12,37191
6,1,12,100203,12,33617
6,1,19,54427,17,42375
6,1,19,58816,12,75529
6,1,12,33256,12,35376
6,1,14,32757,12,27049
6,1,12,42411,12,33920
6,1,12,29951,12,27453
6,1,20,48585,14,58535
6,1,10,28043,10,26190
6,1,12,34120,12,31321
6,1,20,69644,14,32203
6,1,14,34270,12,24989
6,1,21,61383,17,40970
6,1,19,51301,17,41229
6,1,12,31456,12,28948
6,1,10,26726,10,26922
6,1,12,32683,12,27519
6,1,21,50515,17,48079
6,1,12,31284,12,27997
6,1,12,29950,12,29037
6,1,18,49185,13,35428
6,1,12,30960,12,28131
6,1,14,36980,12,30406
6,1,22,55807,15,41076
6,1,21,51491,17,39485
6,1,10,74297,10,45263
6,1,12,64886,12,31795
6,1,22,78009,15,41769
6,1,12,32315,12,26310
6,1,10,29050,10,21269
6,1,20,51530,14,52677
6,1,21,51075,14,31885
6,1,24,66577,17,43716
6,1,28,800062,23,79798
6,1,12,35505,12,102212
6,1,10,105264,10,119729
6,1,10,48611,10,29171
6,1,10,30014,10,25058
6,1,12,30286,12,30577
6,1,12,30944,12,34235
6,1,10,38489,10,27323
6,1,19,47898,17,48995
6,1,12,234117,12,304940
6,1,18,240070,13,36840
6,1,28,80472,23,62145
6,1,19,94526,17,46197
6,1,19,47124,17,43393
8,1,46,151615,22,53328
8,1,32,87910,18,48591
8,1,27,224758,20,55088
8,1,45,141438,28,74009
8,1,42,1109628,30,86867
8,1,36,108023,20,39546
8,1,43,117541,26,55805
8,1,41,87568,18,35427
8,1,27,58653,20,79667
8,1,34,81047,25,55764
8,1,30,67175,19,41731
8,1,33,82363,21,69380
8,1,26,48743,18,30700
8,1,29,59887,15,27288
8,1,30,59054,22,42960
8,1,33,69229,21,38201
8,1,30,60121,22,42572
8,1,30,123003,20,40449
8,1,48,111400,23,51182
8,1,43,117730,26,82220
8,1,40,101679,32,71203
8,1,29,50256,15,25719
8,1,29,55367,20,40189
8,1,33,64690,20,34447
8,1,27,56110,17,34112
8,1,27,52127,17,30599
8,1,15,28375,15,28226
8,1,48,99943,23,42439
8,1,35,81819,26,53311
8,1,44,107388,20,33074
8,1,15,33213,15,27601
8,1,15,33027,15,28441
8,1,33,88777,31,86705
8,1,34,144254,25,80834
8,1,46,131510,22,45888
8,1,25,62444,16,26006
8,1,35,170358,26,160419
8,1,15,30877,13,23555
8,1,27,79805,15,25050
8,1,40,76188,26,71687
8,1,29,61960,20,32422
8,1,17,29529,15,26102
8,1,35,179214,26,57968
8,1,29,45257,15,32390
8,1,36,70739,23,44185
8,1,33,57049,23,39865
8,1,15,354515,13,40879
8,1,44,491225,20,655956
8,1,33,121924,23,44910
8,1,23,41969,17,27977
8,1,29,53161,15,25577
8,1,15,27440,15,25032
8,1,44,87143,20,40096
8,1,25,54009,20,38873
8,1,15,24130,15,25688
8,1,30,59929,19,31366
8,1,15,25156,15,23416
8,1,15,27403,13,23292
8,1,33,68565,23,37507
8,1,27,46237,17,26760
8,1,33,57233,21,38744
8,1,33,66437,31,59602
8,1,29,52839,20,31134
8,1,40,79257,32,67199
8,1,35,76066,26,56630
8,1,17,30988,15,28099
8,1,36,79198,23,66533
8,1,15,30324,15,26657
8,1,44,102080,29,48273
8,1,15,30007,13,24337
8,1,27,47434,15,27376
8,1,30,56445,19,33593
8,1,35,66081,15,25046
8,1,17,30881,15,25450
8,1,27,48691,15,26808
8,1,15,28536,13,23758
8,1,47,82267,30,48114
8,1,32,60557,18,29882
8,1,15,34217,15,26871
8,1,35,102346,20,34354
8,1,15,28549,13,24010
8,1,38,77720,26,55134
8,1,15,27656,15,25131
8,1,15,32251,13,45552
8,1,30,56372,23,43388
8,1,44,82198,29,58589
8,1,17,28849,15,24990
8,1,15,25594,13,22022
8,1,15,28294,15,23970
8,1,45,86738,28,48314
8,1,17,30869,15,27546
8,1,46,88051,22,41556
8,1,38,80802,26,55187
8,1,15,29198,13,25660
8,1,29,53318,20,32578
8,1,30,58524,18,28589
8,1,17,28723,15,27339
8,1,30,52252,18,29447
8,1,33,63634,20,33893
8,1,30,56231,20,32301
10,1,43,76426,18,33438
10,1,51,101345,30,40465
10,1,65,97948,30,30270
10,1,77,183261,29,54207
10,1,66,136137,25,48431
10,1,61,86202,18,29433
10,1,48,54986,18,17489
10,1,47,93849,29,60305
10,1,52,104720,26,47251
10,1,72,166849,38,80393
10,1,78,184935,38,80513
10,1,78,184827,38,93012
10,1,43,73481,21,33636
10,1,95,246228,37,100261
10,1,82,199084,46,77215
10,1,95,218900,37,66252
10,1,71,149210,36,64170
10,1,76,173573,31,58078
10,1,67,183415,35,66700
10,1,78,266340,38,149687
10,1,73,159562,31,40804
10,1,56,228680,26,43258
10,1,46,91165,25,43988
10,1,53,113635,35,70095
10,1,81,177939,37,60270
10,1,72,152808,30,50639
10,1,57,110660,36,66263
10,1,65,138051,30,50633
10,1,67,160694,35,64986
10,1,105,286543,57,111124
10,1,64,123823,27,43307
10,1,48,78769,18,25494
10,1,72,170498,31,56572
10,1,60,129757,40,89812
10,1,87,207071,56,109921
10,1,47,88610,29,50230
10,1,75,172173,40,66214
10,1,78,172665,38,70768
10,1,77,158587,33,54825
10,1,48,86345,18,27196
10,1,50,88611,23,34654
10,1,79,169527,41,77782
10,1,50,92800,23,35721
10,1,87,212398,28,43040
10,1,78,167439,38,73864
10,1,66,130690,28,82723
10,1,82,198250,50,88924
10,1,64,116595,27,42972
10,1,64,112589,27,43112
10,1,47,93627,29,51730
10,1,83,170704,44,77804
10,1,56,106080,21,31161
10,1,27,44845,16,28996
10,1,27,42727,16,23705
10,1,77,159705,28,48036
10,1,85,185245,28,40709
10,1,66,124938,27,44086
10,1,52,96101,29,46412
10,1,68,138085,42,72592
10,1,74,163673,38,66583
10,1,80,166467,37,57895
10,1,27,35942,16,19757
10,1,95,1352939,37,106802
10,1,56,124597,26,41579
10,1,27,43425,16,25709
10,1,64,126650,27,400827
10,1,79,201213,35,73669
10,1,82,237038,50,84779
10,1,72,143569,30,45618
10,1,112,266052,57,94734
10,1,99,189911,51,79069
10,1,80,139406,56,1051138
10,1,83,212121,46,97740
10,1,75,339805,40,97773
10,1,51,96702,23,28469
10,1,81,174567,46,3215269
10,1,63,133750,18,24762
10,1,63,308450,36,75618
10,1,51,78392,23,31221
10,1,48,70212,18,23966
10,1,60,122420,27,39100
10,1,83,153895,44,69837
10,1,71,157694,28,41828
10,1,64,122868,27,44303
10,1,46,76438,25,38519
10,1,57,107604,38,50940
10,1,52,96227,24,30225
10,1,59,101336,29,37003
10,1,46,74269,25,37082
10,1,63,99285,36,69470
10,1,64,110223,27,35703
10,1,67,110241,35,51744
10,1,66,108212,25,33309
10,1,72,122560,38,67480
10,1,101,188724,59,89874
10,1,85,197587,28,33340
10,1,82,163934,41,70934
10,1,27,42082,16,25620
10,1,59,95797,28,41196
10,1,72,142518,33,43903
12,1,156,380447,58,84974
12,1,144,1247803,61,106305
12,1,174,450599,71,129358
12,1,177,453174,71,176297
12,1,211,600881,107,213647
12,1,107,1172351,27,111719
12,1,172,1624852,35,81532
12,1,154,698167,51,504264
12,1,166,601403,90,215205
12,1,149,464436,47,93316
12,1,160,622460,43,79290
12,1,108,273173,34,57684
12,1,137,429863,47,88872
12,1,141,472028,51,88394
12,1,119,320126,43,73563
12,1,144,538222,52,97538
12,1,174,578902,71,164077
12,1,116,303061,45,71949
12,1,161,483778,35,54380
12,1,141,436242,45,87773
12,1,187,719795,102,319868
12,1,192,656039,93,142983
12,1,146,274037,30,26477
12,1,230,587447,119,194167
12,1,162,364584,34,31780
12,1,142,258828,49,54741
12,1,156,294068,62,75814
12,1,185,1661885,78,171057
12,1,108,264354,48,88249
12,1,185,631654,43,79368
12,1,194,634292,52,89408
12,1,152,448917,35,35315
12,1,172,335876,46,118170
12,1,144,421068,61,120872
12,1,181,561637,87,182132
12,1,182,555717,51,81352
12,1,168,472691,79,163551
12,1,155,413176,44,65062
12,1,198,719648,96,214285
12,1,202,723336,63,109494
12,1,171,471972,52,82159
12,1,141,259056,52,68740
12,1,120,219188,40,57140
12,1,138,320738,56,87851
12,1,220,641366,95,219551
12,1,134,268219,50,82988
12,1,147,329228,51,76955
12,1,153,351273,40,57803
12,1,102,189966,21,27869
12,1,176,517510,65,116458
12,1,122,198953,44,63175
12,1,137,298734,47,107021
12,1,132,282269,26,31608
12,1,187,477168,102,215634
12,1,185,451757,60,87579
12,1,171,390277,48,67785
12,1,161,331734,42,54273
12,1,190,471283,107,199816
12,1,173,390292,67,109488
12,1,165,359619,53,71535
12,1,151,300872,58,74906
12,1,198,523893,103,193258
12,1,134,374306,29,35967
12,1,176,517864,62,91553
12,1,155,420827,61,86715
12,1,110,219131,34,43697
12,1,155,346790,33,41293
12,1,174,458786,89,164825
12,1,174,434588,89,141413
12,1,178,432801,35,41837
12,1,164,373526,72,105681
12,1,162,376964,33,59829
12,1,107,171258,60,77712
12,1,133,301044,47,68074
12,1,175,416069,37,49045
12,1,146,302230,53,75294
12,1,108,187340,48,67955
12,1,218,412911,74,76332
12,1,102,122694,41,34472
12,1,122,143820,44,41450
12,1,218,395575,95,112023
12,1,193,315711,71,69001
12,1,187,297581,34,26570
12,1,77,72121,19,14053
12,1,117,131665,37,41103
12,1,142,325345,38,43955
12,1,107,149287,60,72765
12,1,101,118447,38,33519
12,1,170,249653,76,72723
12,1,165,250713,72,76939
12,1,165,407649,70,106703
12,1,143,293796,54,97735
12,1,161,370565,43,57056
12,1,154,338351,47,61157
12,1,120,220462,31,37274
12,1,182,418602,43,54250
12,1,151,262817,64,78907
12,1,136,228008,32,33706
12,1,153,293844,45,48418
12,1,152,324793,47,68861
14,1,445,2154600,96,206736
14,1,345,1727310,114,230896
14,1,356,1387013,45,59994
14,1,325,1250416,78,124537
14,1,352,1700055,46,65420
14,1,372,1415258,88,858868
14,1,383,2988622,98,164625
14,1,381,1540522,116,247543
14,1,430,1949511,161,375457
14,1,412,1764108,132,280265
14,1,396,1638340,116,205278
14,1,351,1369587,145,309391
14,1,307,773833,94,106894
14,1,394,1341631,86,143326
14,1,284,965707,40,55798
14,1,367,1531980,82,143184
14,1,320,1159746,70,112050
14,1,567,3899792,242,471208
14,1,415,1198750,184,302134
14,1,338,835992,108,165422
14,1,409,1750136,157,357345
14,1,339,1329817,39,48963
14,1,335,856425,134,189485
14,1,372,1358736,88,100126
14,1,478,1615986,134,175472
14,1,431,1334087,198,345171
14,1,426,4659761,200,1280465
14,1,357,1377473,158,240867
14,1,313,745524,61,57622
14,1,353,901318,105,132909
14,1,351,965746,156,239442
14,1,521,2164996,181,290157
14,1,410,1290710,108,132161
14,1,419,1244854,98,106698
14,1,289,653837,38,28622
14,1,473,1526552,216,382902
14,1,366,2911377,59,69834
14,1,357,922763,124,174744
14,1,375,1025830,117,151133
14,1,377,1031414,75,81567
14,1,412,1135537,132,182434
14,1,400,1211661,144,200256
14,1,344,849218,76,80485
14,1,567,2057852,242,539917
14,1,435,1313423,96,103667
14,1,330,779694,88,98328
14,1,335,811917,75,75186
14,1,390,1333567,140,224629
14,1,347,1067300,63,72905
14,1,299,779174,46,47510
14,1,511,2107660,181,329897
14,1,330,914558,73,82697
14,1,294,744630,94,120327
14,1,342,1137403,51,65891
14,1,403,1966009,137,296936
14,1,378,1897172,96,164513
14,1,379,2886245,122,232890
14,1,331,1296912,69,98911
14,1,383,1069497,42,36177
14,1,317,716176,34,30649
14,1,360,967339,144,203584
14,1,374,1013765,203,338568
14,1,363,982767,110,129224
14,1,334,838441,56,80030
14,1,383,1876623,49,80595
14,1,338,958372,115,145128
14,1,376,983714,55,52369
14,1,323,748195,56,51984
14,1,253,504141,42,37375
14,1,291,620478,38,30510
14,1,380,1069417,76,86156
14,1,392,1135978,130,175932
14,1,478,1690054,181,325085
14,1,334,825535,77,80325
14,1,384,1068903,46,41981
14,1,375,1015260,138,186658
14,1,333,796501,117,142611
14,1,354,924768,84,86275
14,1,204,353336,37,30843
14,1,512,2256910,213,415414
14,1,301,652497,93,98712
14,1,381,1125557,46,44566
14,1,428,1375429,102,123797
14,1,378,1054365,103,128303
14,1,207,359657,51,46076
14,1,344,840660,71,70990
14,1,428,1524623,163,238113
14,1,364,949087,113,135383
14,1,335,783275,142,189424
14,1,449,1449895,235,456347
14,1,344,900978,89,95609
14,1,383,986230,98,106779
14,1,333,853232,94,106180
14,1,361,1237577,193,353945
14,1,407,1226791,190,343163
14,1,389,2772596,156,530320
14,1,304,2571618,53,102859
14,1,226,723133,22,33685
14,1,410,1259325,153,218623
14,1,355,961413,95,117171
16,1,726,4379491,199,997516
16,1,789,6098046,327,1099454
16,1,1120,10158197,283,721592
16,1,822,10488097,177,316307
16,1,831,5115521,236,664577
16,1,1113,9916167,223,493995
16,1,864,6117064,134,205470
16,1,829,5999137,163,470196
16,1,686,6163565,252,803389
16,1,933,7200409,351,1525813
16,1,1075,9873845,204,412217
16,1,711,3565950,221,471554
16,1,858,6562111,135,352575
16,1,1072,9637358,248,602700
16,1,725,3722251,94,144189
16,1,721,3627614,76,107120
16,1,932,7019308,217,447586
16,1,1090,8570190,263,881534
16,1,708,3461197,91,127316
16,1,1063,7845515,186,374054
16,1,866,5535080,189,330624
16,1,1201,13159688,275,1060359
16,1,839,7094510,260,913019
16,1,892,12334575,188,467122
16,1,682,4565788,65,99843
16,1,775,5814201,172,362248
16,1,842,8068776,100,221067
16,1,1051,11131475,198,339165
16,1,721,5067869,303,1176517
16,1,842,4714872,353,1110913
16,1,1120,11967403,456,2239604
16,1,921,6719420,212,442963
16,1,704,6054346,103,226272
16,1,806,6220348,97,172347
16,1,1238,12797890,377,1884867
16,1,892,8575153,235,432021
16,1,869,6914883,373,1641832
16,1,752,6839029,160,393535
16,1,1036,11436672,261,830423
16,1,1113,9577970,208,562179
16,1,762,5845327,212,591663
16,1,719,6537467,106,209508
16,1,798,7251767,112,205921
16,1,813,5384373,72,107546
16,1,757,5796417,198,524607
16,1,944,7769048,95,121154
16,1,1021,9161508,167,414175
16,1,882,7634160,261,785041
16,1,737,5387451,260,849710
16,1,747,5561681,147,300229
16,1,690,4670883,61,97638
16,1,979,9092656,284,865628
16,1,792,5977604,288,1001835
16,1,823,6509039,177,401187
16,1,715,5785818,183,435015
16,1,1013,9796191,191,419178
16,1,752,5397766,223,595149
16,1,783,5943886,220,622177
16,1,1112,12537759,395,1947203
16,1,753,8389006,228,699768
16,1,706,5475617,90,172939
16,1,709,5069665,280,1023307
16,1,1207,16142483,282,915000
16,1,885,7056285,189,483541
16,1,1133,9842306,282,631710
16,1,877,4921107,193,310715
16,1,881,5040767,228,417528
16,1,785,4046273,166,274076
16,1,789,4133098,128,166555
16,1,852,5547555,200,538585
16,1,741,6527632,196,545910
16,1,742,5434588,171,269661
16,1,986,7846095,124,236482
16,1,756,5729743,218,398004
16,1,786,5964035,156,360096
16,1,723,4232974,118,150368
16,1,880,5784307,211,394354
16,1,793,4167684,217,390093
16,1,647,3293129,39,54144
16,1,1114,12429734,394,1631328
16,1,895,7380022,197,482959
16,1,794,8020548,224,497584
16,1,857,5181032,122,233157
16,1,823,8670175,245,737522
16,1,711,15047020,152,516071
16,1,729,4863412,186,437997
16,1,734,5557298,335,1225786
16,1,734,5549801,96,322242
16,1,802,6198048,214,376715
16,1,769,3905064,173,259026
16,1,710,4486632,133,287443
16,1,883,7464975,266,790556
16,1,956,7096119,190,424435
16,1,826,5913297,342,1128748
16,1,1172,13530511,234,796631
16,1,889,7417890,197,506276
16,1,743,5708531,176,301141
16,1,897,5722368,218,545301
16,1,863,7107943,189,442002
16,1,823,5038531,261,546634
18,1,1768,29319127,230,413171
18,1,2283,43061334,693,3577684
18,1,1880,25843593,473,2921601
18,1,1926,27800521,560,2104945
18,1,2553,46361717,491,1684818
18,1,1621,17569593,444,1587914
18,1,1917,29394998,226,447479
18,1,1670,19658388,218,448316
18,1,2366,38957114,570,2209585
18,1,1885,26127300,102,120386
18,1,2134,32501055,718,3571761
18,1,2444,41514841,308,671160
18,1,2890,60847798,730,3426172
18,1,2511,46877488,343,1141302
18,1,1619,21684416,235,686066
18,1,2225,39974570,106,132830
18,1,1475,14526203,395,1347388
18,1,2475,43105005,839,5095957
18,1,1461,13435013,170,310859
18,1,1480,19476097,208,368280
18,1,1665,19140830,199,409234
18,1,1720,20812891,689,4789953
18,1,1858,26658809,180,411322
18,1,1827,24589954,200,382116
18,1,2230,31258572,214,350563
18,1,1839,20416464,439,1317693
18,1,1904,26466636,355,957442
18,1,2364,37344383,457,1602493
18,1,2614,52751211,396,1085946
18,1,2124,33428608,600,2997358
18,1,1804,21745157,151,215668
18,1,2478,46441597,210,394962
18,1,2019,26511827,386,1551011
18,1,1444,17009389,212,394036
18,1,2695,58705839,425,1305494
18,1,2902,57030903,788,4071743
18,1,1975,24708403,348,921155
18,1,1567,15156418,339,798643
18,1,2485,43558572,744,3445255
18,1,1670,20016611,180,365442
18,1,2238,39320683,429,1195780
18,1,1446,15671358,375,1100443
18,1,1792,21519922,369,899473
18,1,2136,30395877,702,3868457
18,1,2066,31139985,595,2931471
18,1,2103,33090254,193,297099
18,1,1470,14538700,207,437006
18,1,2041,29433078,340,955853
18,1,2440,49182660,173,321092
18,1,1435,16376738,133,192868
18,1,1487,13495935,437,1285911
18,1,1770,25954455,116,143532
18,1,2152,29448203,521,1745927
18,1,3120,72299751,767,3786701
18,1,1756,25069616,332,695636
18,1,2769,59217865,578,2088093
18,1,1359,10843555,105,103337
18,1,1639,17143796,250,472793
18,1,1473,13266874,59,45565
18,1,2487,39896201,402,1054300
18,1,1640,15998972,96,89302
18,1,1994,29531474,469,1633687
18,1,1406,11635251,377,1276439
18,1,1634,19464004,364,904639
18,1,1789,23028563,281,518747
18,1,1801,20001503,335,744823
18,1,2773,55137012,420,1428590
18,1,3013,67895516,721,3286484
18,1,2493,43790180,244,415434
18,1,2341,37496932,188,354639
18,1,2543,43147446,204,325731
18,1,1777,21847729,379,978487
18,1,1457,13123503,164,198461
18,1,1414,11627996,241,391772
18,1,1847,21713113,516,2462913
18,1,1527,15918600,372,1203555
18,1,1527,15727847,393,1017963
18,1,1751,18849634,69,56943
18,1,1731,22442580,154,236076
18,1,1867,23266640,231,389499
18,1,1859,24311160,378,924913
18,1,2315,37392308,343,816780
18,1,1482,13146589,45,31146
18,1,1473,14133819,326,931535
18,1,1916,24289642,333,707571
18,1,2159,32646950,589,2118048
18,1,1818,20150201,347,778165
18,1,1818,20529714,478,1376059
18,1,2410,37309482,764,3586443
18,1,2529,44700279,776,3599609
18,1,2029,28977621,285,684397
18,1,2056,29496948,391,993615
18,1,1699,18974792,61,65789
18,1,2129,30458414,578,2085813
18,1,1517,15142509,287,588565
18,1,2191,33464587,253,450431
18,1,2069,27418072,319,715916
18,1,1948,23274561,425,1291208
18,1,2346,39337915,908,4829569
18,1,2088,29951723,142,176605
20,1,2833,56230609,192,336632
20,1,3604,94105385,228,383732
20,1,4369,140875291,70,65804
20,1,4955,183153706,715,2991645
20,1,5671,241631985,1511,12623096
20,1,4636,162379142,445,1823471
20,1,4081,122616610,390,968325
20,1,5935,265823540,370,955882
20,1,5735,259941697,576,2543839
20,1,3487,85747580,282,543962
20,1,4205,123045862,467,1351254
20,1,3628,98495122,388,1179469
20,1,4166,130509209,511,2239850
20,1,4746,172087778,418,1423061
20,1,4985,190237379,447,1235577
20,1,5249,219055928,237,582332
20,1,3219,79166416,395,964463
20,1,2773,53016707,226,380961
20,1,4693,168285298,854,4958469
20,1,4739,164238744,684,2677807
20,1,3901,113991955,241,411453
20,1,3339,75832772,137,173388
20,1,6122,289150519,768,3679895
20,1,3071,68812676,285,577542
20,1,5486,228458085,725,3938217
20,1,4529,151984952,598,2105887
20,1,4595,152871786,546,1712260
20,1,5826,260989856,1311,10462000
20,1,5935,259434139,434,1141287
20,1,4060,120508262,407,1101264
20,1,5985,277061994,383,908834
20,1,4707,159355429,823,3816649
20,1,3802,109270804,349,879578
20,1,5893,264769977,508,1784079
20,1,4118,129124952,225,363506
20,1,6171,303945934,478,1800206
20,1,6137,285027409,1706,19662043
20,1,4720,170786509,379,1060436
20,1,5189,215893708,498,1504680
20,1,4601,161408485,451,1779289
20,1,3659,104721115,144,183517
20,1,4071,119722128,207,373153
20,1,4653,154278402,724,3099013
20,1,5809,244585153,738,3909404
20,1,6442,324875401,696,3063030
20,1,4007,136533939,529,1769297
20,1,3617,105683277,162,309592
20,1,5533,230458024,883,5320164
20,1,3872,111584988,440,1269821
20,1,5546,235882744,1154,10329615
20,1,4741,166978024,459,1376026
20,1,6011,263063836,593,2155699
